X1,X2,X3,Y
420,214,753,67679640
415,711,857,252870705
19,154,411,1202586
863,83,692,49567268
545,452,893,219981620
781,999,277,216120663
916,44,89,3587056
910,450,33,13513500
694,980,584,397190080
529,955,748,377885860
837,860,883,635601060
3,308,522,482328
415,429,799,142249965
702,797,686,383812884
302,216,548,35747136
929,27,150,3762450
169,661,944,105453296
735,118,182,15784860
239,491,514,60317386
90,740,200,13320000
359,654,649,152376114
829,50,969,40165050
369,862,91,28945098
232,243,58,3269808
198,684,960,130014720
745,496,102,37691040
552,672,715,265224960
818,854,161,112470092
390,699,94,25625340
993,532,14,7395864
840,19,132,2106720
45,350,670,10552500
771,184,99,14044536
987,247,811,197712879
590,804,178,84436080
200,794,529,84005200
218,549,433,51822306
895,911,899,732995155
713,626,838,374031244
265,644,444,75773040
503,582,898,262885908
494,263,214,27803308
588,399,929,217954548
8,396,141,446688
579,775,673,301991925
925,251,699,162290325
332,708,689,161953584
320,451,873,125991360
263,91,308,7371364
540,999,72,38841120
648,679,71,31239432
324,410,303,40250520
836,253,27,5710716
952,128,740,90173440
211,738,907,141236226
693,960,60,39916800
518,324,250,41958000
222,209,472,21899856
299,151,462,20858838
282,297,328,27471312
847,500,873,369715500
832,82,296,20194304
438,116,124,6300192
5,261,800,1044000
879,598,366,192384972
15,261,289,1131435
895,764,817,558648260
495,203,440,44213400
413,869,795,285323115
379,61,885,20460315
24,280,268,1800960
694,322,515,115086020
480,709,590,200788800
360,128,64,2949120
618,86,469,24926412
868,603,732,383131728
580,502,40,11646400
376,80,501,15070080
604,441,106,28234584
117,411,675,32458725
600,219,77,10117800
424,805,859,293193880
315,91,154,4414410
825,358,963,284422050
816,320,827,215946240
531,550,676,197425800
828,160,900,119232000
480,940,198,89337600
599,644,830,320177480
518,987,133,67998378
93,489,143,6503211
606,312,792,149745024
382,44,963,16186104
96,19,407,742368
606,362,268,58791696
580,552,97,31055520
715,202,300,43329000
379,193,945,69123915
10,254,368,934720
607,716,866,376373992
321,756,208,50476608
444,358,729,115876008
400,603,681,164257200
698,10,399,2785020
908,772,760,532741760
882,496,41,17936352
964,935,683,615615220
28,224,304,1906688
889,879,419,327419589
643,478,302,92820908
602,521,139,43596238
213,918,20,3910680
49,796,786,30657144
366,485,691,122659410
65,117,513,3901365
654,460,539,162152760
105,309,706,22906170
948,480,73,33217920
69,114,995,7826670
105,504,673,35615160
209,636,860,114314640
457,928,223,94573408
377,821,73,22594741
718,74,718,38148776
491,661,398,129171298
358,176,17,1071136
491,851,847,353911327
446,781,190,66181940
283,358,705,71426370
843,624,91,47868912
801,940,374,281599560
625,902,524,295405000
506,667,882,297676764
446,960,351,150284160
546,206,19,2137044
621,234,620,90094680
531,21,80,892080
212,415,840,73903200
177,687,306,37209294
312,858,270,72277920
525,76,984,39261600
585,499,277,80860455
408,705,101,29051640
922,749,320,220984960
918,933,756,647509464
211,350,304,22450400
938,67,543,34125378
346,802,905,251130260
967,487,299,140807771
135,928,19,2380320
711,962,7,4787874
501,941,502,236663382
362,70,961,24351740
414,220,189,17214120
642,317,845,171969330
646,202,712,92910304
754,134,477,48194172
18,405,484,3528360
325,472,327,50161800
469,309,801,116081721
391,166,43,2790958
981,462,306,138685932
3,691,869,1801437
555,947,410,215489850
41,981,447,17978787
252,500,10,1260000
740,994,836,614928160
918,657,36,21712536
740,984,762,554857920
229,524,252,30238992
367,296,539,58552648
625,937,851,498366875
901,769,632,437893208
978,365,94,33555180
688,968,374,249078016
942,425,966,386738100
436,483,972,204691536
589,263,283,43838681
473,137,124,8035324
320,341,715,78020800
702,746,855,447756660
56,995,563,31370360
65,881,937,53657305
126,823,895,92809710
439,644,193,54564188
516,528,199,54217152
78,489,16,610272
363,635,789,181868445
78,116,519,4695912
38,576,175,3830400
769,627,537,258921531
955,387,743,274601655
125,893,796,88853500
950,168,928,148108800
617,280,134,23149840
691,244,553,93238012
268,247,840,55604640
862,61,526,27658132
289,719,301,62545091
666,453,861,259761978
456,193,61,5368488
906,596,844,455739744
441,687,511,154816137
685,462,855,270581850
19,567,297,3199581
53,777,745,30679845
569,185,30,3157950
373,464,89,15403408
683,904,588,363050016
441,239,939,98969661
741,64,339,16076736
423,479,337,68281929
881,781,929,639208669
833,258,74,15903636
649,589,365,139525265
776,956,681,505203936
639,933,748,445947876
205,769,649,102311605
825,923,933,710456175
931,695,787,509224415
998,583,302,175713868
206,991,446,91049116
46,755,93,3229890
320,384,433,53207040
937,409,884,338777972
784,979,812,623239232
243,337,68,5568588
42,362,916,13926864
951,869,101,83468319
577,787,235,106713265
509,650,124,41025400
534,252,485,65265480
441,816,272,97880832
894,66,854,50389416
838,161,780,105236040
639,419,461,123428601
958,534,416,212813952
11,385,718,3040730
414,378,706,110483352
798,337,233,62659758
45,739,901,29962755
146,39,386,2197884
669,920,713,438837240
856,120,379,38930880
154,151,766,17812564
669,30,155,3110850
835,538,154,69181420
446,879,783,306962622
669,518,455,157676610
