X1 ,X2,X3,Y
159,110,287,5019630
173,242,945,39563370
686,404,774,214509456
344,160,967,53223680
232,958,760,168914560
874,707,721,445518878
710,724,983,505301320
448,941,904,381097472
254,132,451,15121128
850,67,236,13440200
457,906,904,374293968
874,278,239,58070308
925,908,384,322521600
180,236,123,5225040
549,982,937,505153566
773,93,283,20344587
492,511,481,120929172
419,781,474,155111286
667,222,134,19841916
487,765,735,273827925
60,609,175,6394500
97,171,990,16421130
22,641,584,8235568
644,784,365,184287040
656,212,882,122661504
894,208,666,123844032
785,406,277,88282670
181,877,184,29207608
530,306,194,31462920
889,714,44,27928824
165,256,383,16177920
111,69,615,4710285
773,891,206,141881058
575,702,833,336240450
276,71,343,6721428
659,661,116,50529484
834,788,766,503409072
589,127,778,58196734
623,441,394,108248742
125,569,15,1066875
354,679,492,118260072
409,479,482,94429102
343,519,423,75301191
182,661,54,6496308
554,219,370,44890620
925,25,872,20165000
321,964,231,71481564
39,670,478,12490140
324,75,809,19658700
67,628,621,26129196
798,77,310,19048260
560,780,377,164673600
518,509,329,86744798
470,953,299,133925090
829,102,906,76609548
636,895,463,263548860
684,697,476,226932048
585,911,83,44233605
622,625,269,104573750
628,990,631,392305320
153,132,710,14339160
389,41,919,14657131
935,420,22,8639400
976,323,458,144383584
696,411,11,3146616
683,971,853,565703629
964,206,407,80823688
204,600,810,99144000
800,694,220,122144000
931,346,353,113710478
398,261,300,31163400
907,179,975,158294175
478,712,211,71810896
609,476,80,23190720
722,886,908,580840336
289,850,54,13265100
135,743,764,76633020
801,463,880,326359440
949,553,596,312779012
285,767,180,39347100
697,71,578,28603486
856,432,664,245541888
697,480,982,328537920
236,339,502,40162008
681,914,429,267024186
889,867,464,357634032
45,312,694,9743760
757,705,976,520876560
9,196,206,363384
327,936,374,114470928
278,337,12,1124232
116,195,332,7509840
375,515,627,121089375
310,611,969,183538290
881,702,324,200381688
103,791,200,16294600
207,256,947,50183424
23,760,328,5733440
293,294,595,51254490
139,754,12,1257672
414,12,776,3855168
670,632,957,405232080
611,558,334,113873292
697,926,320,206535040
953,652,305,189513580
459,255,340,39795300
198,58,423,4857732
244,611,979,145953236
665,479,239,76129865
296,146,893,38591888
977,249,255,62034615
982,74,464,33717952
126,656,675,55792800
87,342,30,892620
559,134,207,15505542
620,550,316,107756000
649,449,619,180377219
59,868,780,39945360
438,639,583,163171206
881,867,566,432326082
987,232,596,136474464
108,360,770,29937600
772,246,6,1139472
664,208,335,46267520
892,720,884,567740160
281,498,133,18611754
977,214,81,16935318
258,553,908,129547992
89,829,420,30988020
254,198,360,18105120
482,308,470,69774320
597,805,366,175894110
416,307,808,103191296
134,389,506,26375756
787,708,822,458015112
376,989,705,262164120
635,323,482,98860610
154,826,32,4070528
687,531,280,102143160
128,98,461,5782784
278,693,994,191498076
367,661,852,206684124
539,627,506,171004218
493,206,858,87136764
621,160,626,62199360
283,993,874,245610606
654,524,78,26730288
677,366,328,81272496
369,288,784,83317248
634,157,492,48972696
631,668,933,393266964
75,972,340,24786000
661,286,179,33839234
415,580,329,79190300
92,276,989,25112688
859,525,191,86136225
264,231,235,14331240
771,713,23,12643629
394,990,319,124429140
781,683,773,412335979
867,553,970,465067470
556,127,972,68634864
503,252,90,11408040
991,821,358,291272738
361,663,913,218520159
824,118,478,46476896
807,632,697,355486728
811,748,949,575689972
649,958,166,103209172
155,876,426,57842280
558,659,640,235342080
271,155,721,30285605
525,36,313,5915700
878,160,826,116036480
957,241,838,193273806
479,112,739,39645872
960,62,78,4642560
400,801,739,236775600
234,123,141,4058262
733,115,429,36162555
682,358,438,106940328
461,695,50,16019750
421,347,122,17822614
966,899,869,754669146
690,967,373,248876790
275,66,458,8312700
590,552,638,207783840
396,323,34,4348872
423,627,498,132080058
322,425,66,9032100
273,750,904,185094000
632,518,956,312971456
382,467,189,33716466
631,114,735,52871490
2,697,950,1324300
989,954,533,502888698
694,902,498,311742024
160,524,617,51729280
19,670,386,4913780
333,949,434,137151378
592,80,571,27042560
214,620,466,61828880
195,431,900,75640500
873,536,379,177344712
372,871,685,221948220
366,414,281,42578244
603,256,379,58505472
278,538,190,28417160
720,605,541,235659600
511,523,90,24052770
295,918,529,143258490
813,850,465,321338250
838,258,215,46483860
248,335,327,27167160
223,291,384,24918912
382,775,812,240392600
166,372,633,39089016
514,246,114,14414616
573,135,630,48733650
309,71,89,1952571
270,800,114,24624000
184,243,81,3621672
783,331,695,180125235
50,1000,330,16500000
47,157,552,4073208
244,819,830,165863880
244,283,604,41707408
405,230,984,91659600
371,468,283,49136724
994,876,142,123645648
407,130,736,38941760
926,66,699,42720084
617,398,909,223219494
458,288,644,84946176
634,519,390,128327940
711,183,248,32268024
83,384,840,26772480
875,120,143,15015000
998,860,277,237743560
715,653,730,340833350
419,640,328,87956480
684,664,922,418750272
682,991,990,669103380
517,805,505,210173425
994,716,929,661173016
593,982,540,314456040
660,852,337,189501840
314,796,746,186458224
344,570,812,159216960
2,113,67,15142
322,405,9,1173690
606,434,67,17621268
500,414,374,77418000
53,157,144,1198224
499,994,895,443925370
419,203,329,27983753
134,363,583,28358286
26,376,169,1652144
130,484,252,15855840
959,531,518,263780622
582,817,662,314777028
118,977,810,93381660
509,885,807,363525255
504,182,974,89343072
412,828,214,73003104
618,709,678,297073836
290,722,678,141959640
53,925,329,16129225
690,552,678,258236640
948,893,82,69418248
948,317,260,78134160
179,57,708,7223724
539,541,168,48988632
993,974,593,573538926
431,951,223,91403463
371,497,343,63244741
392,674,915,241750320
96,86,710,5861760
81,540,96,4199040
135,178,339,8146170
