Y,X1,X2,X3
8879085,45,267,739
206669745,591,855,409
162362880,768,270,783
9815400,38,574,450
42706994,113,838,451
82122240,185,867,512
52859520,576,190,483
338004,1,738,458
5079840,20,557,456
3104192,208,41,364
20523720,461,168,265
324721530,735,938,471
18163056,249,97,752
41277600,560,315,234
232871274,621,502,747
51552194,118,829,527
731114560,880,916,907
67300710,885,94,809
37260068,422,337,262
5452000,250,232,94
18527232,96,592,326
28350000,900,63,500
132177760,436,583,520
132092818,467,946,299
238095165,601,539,735
12586992,62,769,264
80576496,312,429,602
192099105,759,705,359
105347882,499,373,566
87356936,554,158,998
606603012,851,764,933
79920555,481,583,285
43009540,161,361,740
3517074,99,191,186
49784880,622,435,184
10209150,30,463,735
206193000,340,933,650
129019800,650,714,278
26347776,676,56,696
69608160,984,524,135
574603004,967,596,997
127944936,862,684,217
250571925,545,601,765
41533934,554,949,79
70795296,312,396,573
108345042,491,369,598
268132032,336,972,821
524606940,780,687,979
80585274,157,847,606
170720000,800,776,275
508291056,728,711,982
75495028,797,238,398
747516702,834,899,997
171721440,666,586,440
303787971,723,617,681
10975608,61,756,238
131838801,489,751,359
52103168,247,256,824
79351104,714,302,368
440072064,552,816,977
501450600,690,895,812
134906688,288,798,587
492288,641,384,2
31230303,87,689,521
258893460,591,447,980
1480608,848,2,873
44922024,749,441,136
34378890,195,514,343
125327502,261,487,986
205465680,428,630,762
251738872,739,869,392
59675712,816,188,389
166887945,555,301,999
498462720,665,976,768
25264800,726,300,116
88648112,233,602,632
4665960,997,24,195
3656784,74,348,142
11817260,430,182,151
67426800,700,276,349
20185200,445,72,630
74077542,399,319,582
235372000,326,1000,722
395544500,755,650,806
8430000,15,562,1000
44049600,437,126,800
461559765,607,933,815
1915124,226,38,223
56565978,287,321,614
21224880,180,719,164
98131968,528,256,726
13278160,181,112,655
11517072,227,453,112
43982290,163,605,446
5440872,824,213,31
109505208,212,591,874
198410562,386,597,861
7000136,58,572,211
58125600,414,150,936
40351500,305,140,945
600180750,765,923,850
586241415,831,771,915
46579170,955,739,66
165310600,868,325,586
43424472,177,337,728
265174260,580,741,617
252629928,578,513,852
34604700,75,467,988
63765790,605,349,302
31624992,581,756,72
583848496,856,946,721
69399288,498,588,237
121502094,357,758,449
11924046,431,29,954
235812430,785,602,499
50338980,359,570,246
650891776,928,743,944
80786160,728,822,135
360264415,965,931,401
84404250,805,699,150
114935388,631,353,516
856680,726,295,4
273797646,853,877,366
233021040,476,492,995
76146000,925,84,980
72428340,335,419,516
70443360,848,195,426
45472815,555,881,93
257228,214,2,601
152907111,659,609,381
131427000,859,680,225
29111130,45,822,787
215250,2,375,287
58794948,796,261,283
19996075,95,215,979
27651042,694,57,699
11466576,627,254,72
379206960,880,717,601
15633870,35,654,683
112374320,314,460,778
443359272,564,818,961
226243640,989,266,860
281263140,582,890,543
133598650,926,995,145
3760920,180,62,337
28557760,308,380,244
16634079,189,127,693
125550000,250,930,540
68210205,103,901,735
36907332,677,462,118
19411425,99,253,775
51786336,303,436,392
10375860,44,395,597
27975830,865,314,103
33278333,251,709,187
4229940,29,260,561
46995520,676,80,869
7438656,731,848,12
587121,127,23,201
295831424,808,934,392
16345320,214,95,804
43408820,299,854,170
59170671,183,623,519
235200,150,196,8
9260875,325,695,41
455672520,573,846,940
334617480,695,743,648
77703878,658,439,269
63346380,380,181,921
137334225,525,383,683
5043968,608,488,17
66932240,292,365,628
208766376,817,351,728
7529922,877,54,159
44177620,710,587,106
192352048,698,392,703
73778152,623,262,452
183337896,619,301,984
10984428,84,479,273
245599900,910,274,985
8185320,33,468,530
285268148,971,484,607
42876000,432,125,794
16181163,531,31,983
487305000,952,625,819
58203600,615,112,845
204998372,817,842,298
223778500,667,671,500
32843050,41,866,925
540497979,987,879,623
64986427,901,913,79
79620352,283,896,314
24295940,745,62,526
462000,14,330,100
469012320,828,952,595
3698920,190,62,314
86967232,736,451,262
4002000,435,230,40
76759562,662,913,127
368609011,719,569,901
11778228,77,607,252
3060855,711,123,35
207292540,910,371,614
143778576,996,302,478
92186640,402,441,520
46452168,658,954,74
367765524,789,716,651
15527538,73,702,303
20757500,437,380,125
17267172,578,766,39
81538875,165,825,599
449324512,637,938,752
1328640,519,10,256
477837360,594,845,952
44270800,194,280,815
70704126,167,547,774
4250604,309,724,19
454536168,607,761,984
276752952,708,574,681
416787000,1000,623,669
71301960,101,888,795
18288000,960,25,762
38417328,964,123,324
44910060,130,618,559
24675056,142,214,812
388895040,855,618,736
1090784,383,89,32
62035584,731,136,624
121230224,584,766,271
16227900,450,38,949
23333520,38,860,714
158723200,320,965,514
176482260,342,835,618
65134800,666,163,600
371769732,801,788,589
20199060,138,410,357
209525330,917,365,626
78512280,280,879,319
145169513,311,769,607
50760460,601,412,205
476504800,667,760,940
15084720,41,840,438
133654059,693,979,197
430636038,786,943,581
10378635,335,449,69
129385366,587,473,466
115464,283,2,204
117146718,522,283,793
5167272,253,148,138
3596372,194,713,26
93326310,495,402,469
94592576,328,767,376
34396270,437,85,926
3986048,209,128,149
137799864,188,947,774
568128652,623,923,988
60775858,142,451,949
248999751,747,693,481
5429380,667,148,55
175484192,877,296,676
3721640,421,520,17
5117728,77,496,134
226254662,709,379,842
131975424,882,167,896
233950464,792,724,408
410101809,849,949,509
3984640,22,566,320
2042880,112,228,80
194622944,401,523,928
111326208,744,448,334
45147648,912,884,56
318130176,768,728,569
50586936,678,811,92
2467400,73,169,200
17100,9,38,50
77385300,530,186,785
350822100,705,695,716
93108600,460,519,390
179377632,756,892,266
289851520,970,667,448
46184376,157,721,408
479626576,884,649,836
4639800,418,100,111
100851450,350,417,691
5890560,944,40,156
767478510,846,985,921
4478368,349,802,16
141709680,907,280,558
464658300,937,522,950
57780800,469,400,308
74588877,459,187,869
85080996,117,787,924
98927700,332,435,685
23636340,420,117,481
52853020,302,370,473
18484830,777,39,610
83032950,650,147,869
3367962,389,37,234
74910666,562,471,283
98835300,193,569,900
159041205,529,459,655
2314656,76,324,94
245980735,767,385,833
34603218,543,129,494
114138425,271,425,991
230529240,740,641,486
100156000,511,800,245
17153884,289,781,76
26649759,281,101,939
22383534,174,653,197
213107104,586,764,476
8367892,179,62,754
20947031,371,131,431
21426912,236,936,97
70544995,463,983,155
9954505,241,751,55
5290296,132,58,691
297595620,630,483,978
40580600,331,200,613
161398224,174,936,991
17948160,114,492,320
502440498,921,838,651
15463188,141,741,148
115107960,957,310,388
14262183,179,351,227
505954800,569,900,988
59173970,311,359,530
360521456,677,802,664
26257920,192,520,263
89933184,704,423,302
46089120,602,80,957
3586433,59,683,89
63199656,234,317,852
161697200,688,395,595
11701848,696,731,23
298508672,977,682,448
14566365,577,765,33
29173632,272,436,246
14020461,689,153,133
80253480,906,103,860
92702400,280,372,890
25071488,416,793,76
462883760,872,974,545
61817418,298,591,351
83003844,574,626,231
25274826,263,562,171
207236848,634,898,364
85092480,792,170,632
4026330,693,14,415
9780960,142,560,123
40646400,320,219,580
9406672,638,388,38
55769493,169,951,347
109399644,779,846,166
226721643,309,977,751
29388744,189,341,456
98764120,559,631,280
74175024,564,196,671
339000896,416,866,941
83936608,398,269,784
313330500,630,725,686
405030810,887,982,465
5719680,432,20,662
36748178,631,787,74
49076352,468,232,452
10687088,184,514,113
425428032,862,848,582
342775264,526,964,676
11591619,277,481,87
7293510,918,35,227
250753930,766,995,329
144230400,960,626,240
29953560,182,390,422
75895998,678,157,713
22054032,663,99,336
33109820,101,443,740
464920,20,197,118
567753200,698,980,830
13386212,326,98,419
56525490,345,498,329
12656016,48,537,491
151982270,262,995,583
3799600,23,944,175
425404728,707,822,732
32858112,512,573,112
399632172,881,618,734
430662360,697,760,813
150036480,495,592,512
163754668,539,503,604
450687100,641,890,790
22840245,135,367,461
32951478,262,371,339
113082970,869,845,154
21872268,646,594,57
23019633,347,567,117
14744862,297,103,482
5019014,143,218,161
3375900,682,10,495
80510220,285,399,708
57310024,886,412,157
11238639,309,983,37
14306500,310,50,923
3199700,653,5,980
81377956,388,253,829
164538000,500,594,554
28289856,582,496,98
